nombre,subj,col_1,col_2,anos
abelinalopezrodriguez,experiencialegislativa,"Diputada(o) Local Propietario, No proporciono",LIII Legislatura,2005-2008
abelinalopezrodriguez,experiencialegislativa,"Diputada(o) Local Propietario, No proporciono",LX Legislatura,2014-2015
javiermanzanosalazar,escolaridad,Profesor,Educacion Primaria,No proporciono
javiermanzanosalazar,trayectoriapolitica,Diregente Juvenil,PCM,1979-1981
javiermanzanosalazar,trayectoriapolitica,Secretario de Organizacion,PRD,1991-1992
javiermanzanosalazar,trayectoriapolitica,Dirigente Regional,PRD,1996-1999
javiermanzanosalazar,cargosdeeleccionpopular,"Presidente Municipal, Guerrero - Alcozauca de Guerrero",PRD,1993-1996
javiermanzanosalazar,cargosdeeleccionpopular,"Presidente Municipal, Guerrero - Alcozauca de Guerrero",PRD,1999-2002
javiermanzanosalazar,experiencialegislativa,"Diputada(o) Federal Propietario, PRD",LIX Legislatura,2003-2006
javiermanzanosalazar,administracionpublicalocal,Tesorero,"H. Ayuntamiento de Alcozauca, Guerrero",1992-1993
carlossanchezbarrios,escolaridad,Maestria,Ciencias Sociales,1981-1983
carlossanchezbarrios,escolaridad,Licenciatura,Economia,1975-1980
carlossanchezbarrios,cargosdeeleccionpopular,"Presidente Municipal, Guerrero - Eduardo Neri",PRI,1996-1999
carlossanchezbarrios,experiencialegislativa,"Diputada(o) Local Propietario, PRI",LVII Legislatura,2002-2005
carlossanchezbarrios,experiencialegislativa,"Diputada(o) Federal Propietario, PRD",LX Legislatura,2006-2009
carlossanchezbarrios,administracionpublicalocal,Secretario de Coordinacion y Planeacion,H. Ayuntamiento Constitucional de Acapulco,1990-1993
carlossanchezbarrios,administracionpublicalocal,Director General de Apoyo a Municipios,Gobierno del estado de Guerrero,1993
carlossanchezbarrios,administracionpublicalocal,Secretario de Planeacion y Presupuesto,Gobierno del estado de Guerrero,1999-2000
carlossanchezbarrios,administracionpublicalocal,Secretario de Desarrollo Social,Gobierno del estado de Guerrero,2000-2002
carlossanchezbarrios,administracionpublicalocal,Coordinador General del Comite de Planeacion para el Desarrollo del estado de Guerrero,Gobierno del estado de Guerero,2011
carlossanchezbarrios,administracionpublicalocal,Coordinador general de Fortalecimiento Municipal,Gobierno del estado de Guerrero,2012
rubencayetanogarcia,escolaridad,Licenciatura,Derecho,
rubencayetanogarcia,escolaridad,Diplomado,Derecho Procesal Civil,2000
rubencayetanogarcia,trayectoriapolitica,Representante Electoral ante el IFE estatal,PT,2012
rubencayetanogarcia,trayectoriapolitica,Secretario General del Comite Ejecutivo estatal en Guerrero,MORENA,2012-2015
rubencayetanogarcia,trayectoriapolitica,Consejero Estatal y Nacional,MORENA,2012-2018
rubencayetanogarcia,trayectoriapolitica,Representante del Partido ante el INE estatal de Guerrero,MORENA,2015
mariadelrosariomerlingarcia,escolaridad,Licenciatura,Educacion Primaria,
mariadelrosariomerlingarcia,trayectoriapolitica,Consejera Nacional,PRD,No proporciono
fortunatoriveracastillo,escolaridad,Especialidad,Fitotecnia,1978
fortunatoriveracastillo,escolaridad,Licenciatura,Ingenieria en Agronomia,1974-1978
fortunatoriveracastillo,escolaridad,Diplomado,Adiestramiento sobre Credito Agropecuario,1979
fortunatoriveracastillo,cargosdeeleccionpopular,"Presidente Municipal, Hidalgo - San Felipe Orizatlan",,1994-1997
fortunatoriveracastillo,administracionpublicafederal,Jefe de Centro de Apoyo al desarrollo Rural No. 2,Secretaria de Agricultura y Desarrollo Rural (SAGARPA),1982-2012
fortunatoriveracastillo,administracionpublicalocal,"Delegado ""A"" Plan Huasteca distrito X, Huejutla",Gobierno del Estado de Hidalgo,1981
fortunatoriveracastillo,administracionpublicalocal,Coordinador General de Desarrollo Rural,Gobierno del Estado de Hidalgo,1997-1999
fortunatoriveracastillo,administracionpublicalocal,Subsecretario,Gobierno del Estado de Hidalgo,2000-2004
fortunatoriveracastillo,administracionpublicalocal,Enlace,Gobierno del Estado de Hidalgo,2004-2009
fortunatoriveracastillo,iniciativaprivada,Residente Auxiliar,"FIRA Banco de Mexico Villahermosa, Tabasco",1979-1981
ciprianocharrezpedraza,escolaridad,Maestria,Economia,
ciprianocharrezpedraza,escolaridad,Posgrado,Especialidad en Analisis de la Economia Socialista,1994
simeyolverabautista,escolaridad,Maestria,Periodismo Politico,2015
simeyolverabautista,escolaridad,Licenciatura,Ciencias de la Comunicacion,2006
simeyolverabautista,escolaridad,Diplomado,Publicidad y Tendencias de la Comunicacion Integral,2007
simeyolverabautista,escolaridad,Diplomado,Power of voice 1 y 2,2011
simeyolverabautista,escolaridad,Diplomado,Nivel 2 de Programacion Neurolinguistica,2012
simeyolverabautista,experiencialegislativa,"Diputada(o) Local Propietario,",LXIII Legislatura,2016-2018
simeyolverabautista,administracionpublicalocal,Directora de la Unidad de Informacion,"H. Ayuntamiento de Mixquiahuala, Hidalgo",2010
mariaisabelalfaromorales,escolaridad,Seminario,"Aerobico Profesional, Metrica Musical, Reebok University, Entrenador de Fisicoconstructivismo y Fitness",1997-2000
mariaisabelalfaromorales,escolaridad,Diplomado,Valores I-II,2015
mariaisabelalfaromorales,escolaridad,Diplomado,Masoterapia,2016
lidiagarciaanaya,escolaridad,Maestria,Administracion de Recursos Humanos,2017-2019
lidiagarciaanaya,escolaridad,Especialidad,Administracion de Recursos Humanos,1992-1993
lidiagarciaanaya,escolaridad,Licenciatura,Derecho,1982-1986
lidiagarciaanaya,escolaridad,Diplomado,Linguistica Avanzada del Espanol,1996-1997
lidiagarciaanaya,asociacionesalasquepertenece,Integrante del Comite Ejecutivo. Secretaria de Asuntos Juridicos (Tercer cargo),Sindicato de Personal Academico de la Universidad Autonoma del Estado de Hidalgo,2006-2010
lidiagarciaanaya,asociacionesalasquepertenece,Integrante del Comite Ejecutivo. Secretaria del Interior (Segundo Cargo),Sindicato de Personal Academico de la Universidad Autonoma del Estado de Hidalgo,2010-2014
lidiagarciaanaya,asociacionesalasquepertenece,Secretaria General del Comite Ejecutivo,Sindicato de Personal Academico de la Universidad Autonoma del estado de Hidalgo,2014-2018
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Derecho Laboral,1988- a la fecha
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Sector Paraestatal,1988-1998
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Deodontologia de las Ciencias Sociales,1992-2000
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Derecho Burocratico,1993-2000
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Derecho Mercantil I,1993-2005
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Practica Forense de la Seguridad Social,2006- a la Fecha
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Sociedad y Quiebras,ago-93
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Contratos,Agosto-Diciembre 1992
lidiagarciaanaya,actividadesdocentes,Docente,Asignatura: Derechos Individuales y Sociales,Enero- Junio 1993
jannettellezinfante,escolaridad,Licenciatura,Educacion Primaria,
eduardoronramos,escolaridad,Licenciatura,Administracion y finanzas,1994-1998
eduardoronramos,escolaridad,Diplomado,Alta Direccion,
marthaestelaromocuellar,escolaridad,Maestria,Nutricion,En curso
marthaestelaromocuellar,escolaridad,Licenciatura,Nutricion,
marthaestelaromocuellar,escolaridad,Diplomado,Administracion Publica y Gestion de Recursos,2016
marthaestelaromocuellar,escolaridad,Diplomado,Analisis Politicas Publicas,2017
guadaluperomoromo,escolaridad,Secundaria,,No proporciono
guadaluperomoromo,trayectoriapolitica,Secretario de afiliacion Jalostotitlan,PAN,2012-2015
guadaluperomoromo,cargosdeeleccionpopular,"Presidente Municipal, Jalisco - Jalostotitlan",PAN,2015-2018
marioalbertorodriguezcarrillo,escolaridad,Doctorado,Gestion de la educacion superior,No proporciono
lorenadelsocorrojimenezandrade,escolaridad,Maestria,Ciencia de la Educacion Familiar,2007 - 2009
lorenadelsocorrojimenezandrade,escolaridad,Licenciatura,Educacion Primaria,1974 - 1978
lorenadelsocorrojimenezandrade,escolaridad,Licenciatura,Fisica / Quimica,1980 - 1986
lorenadelsocorrojimenezandrade,asociacionesalasquepertenece,Presidente,"Empleados Federales, A.C.",1991 - 2018
lorenadelsocorrojimenezandrade,asociacionesalasquepertenece,Representante,Representante por Jalisco en la Academia Nacional de Ciencias,1994 - 1995
lorenadelsocorrojimenezandrade,asociacionesalasquepertenece,Titular,Secretaria de Investigacion y Capacitacion Educativa,2000 - 2004
lorenadelsocorrojimenezandrade,asociacionesalasquepertenece,Titular,Secretaria de Participacion Social,2004 - 2008
lorenadelsocorrojimenezandrade,asociacionesalasquepertenece,Titular,Secretaria de Organizacion,2016 - 2018
fabiolaraquelguadalupeloyahernandez,escolaridad,Licenciatura,Administracion de Empresas,1992-1997
fabiolaraquelguadalupeloyahernandez,escolaridad,Diplomado,Politicas Publicas,2017
fabiolaraquelguadalupeloyahernandez,trayectoriapolitica,Miembro de la Coordinadora Ciudadana Estatal,MC,2013 - 2015
fabiolaraquelguadalupeloyahernandez,cargosdeeleccionpopular,"Regidor(a), Jalisco - Zapopan",Movimiento Ciudadano,2015 - 2018
fabiolaraquelguadalupeloyahernandez,experiencialegislativa,"Diputada(o) Local Propietario, Movimiento Ciudadano",LX Legislatura,2012 - 2015
fabiolaraquelguadalupeloyahernandez,administracionpublicalocal,Directora General de Control de Gestion,H. Ayuntamiento de Tlaquepaque; Jalisco,2004 - 2006
fabiolaraquelguadalupeloyahernandez,administracionpublicalocal,Directora General de atencion ciudadana,H. Ayuntamiento de Tlajomulco de Zuniga; Jalisco,2010 - 2012
fabiolaraquelguadalupeloyahernandez,iniciativaprivada,Representante Servicio,Grupo Financiero Associats,1988 - 2000
fabiolaraquelguadalupeloyahernandez,iniciativaprivada,Asistente Ejecutiva,Banco Internacional S.A.,1993 - 1994
fabiolaraquelguadalupeloyahernandez,iniciativaprivada,Ejecutiva de Servicios,"Bital, S.A.",1994 - 1997
fabiolaraquelguadalupeloyahernandez,iniciativaprivada,Coordinadora Desarrollo,616,2001-2002
fabiolaraquelguadalupeloyahernandez,iniciativaprivada,Jefa Analisis Evaluacion,Mazapan de la Rosa,2003
fabiolaraquelguadalupeloyahernandez,asociacionesalasquepertenece,Vicepresidenta,G10 por Jalisco,2015 - A la fecha
juancarlosvillarrealsalazar,escolaridad,Maestria,Investigacion y docencia,2017-2019
juancarlosvillarrealsalazar,escolaridad,Maestria,Gobierno y Administracion Publica,2018-2019
juancarlosvillarrealsalazar,escolaridad,Licenciatura,Derecho,1996-2001
juancarlosvillarrealsalazar,escolaridad,Diplomado,Seguridad y Auxilio Vial,2013
juancarlosvillarrealsalazar,escolaridad,Conferencia,Transporte y Ruta Empresa,2017
juancarlosvillarrealsalazar,trayectoriapolitica,Coordinador de Movilidad,PRI,2015-2016
juancarlosvillarrealsalazar,administracionpublicalocal,Director General de Desarrollo Social,Secretaria de Desarrollo en Integracion Social Goberno de Jalisco,2015-2017
juancarlosvillarrealsalazar,asociacionesalasquepertenece,Coordinador General,Consejo de Asociaciones de Representantes y Transportistas A.C.,2007 - actualmente
juancarlosvillarrealsalazar,actividadesdocentes,Docente,Asignatura: Lectura y Expresion,2016
abrilalcalapadilla,escolaridad,Doctorado,Ciencia Politica y de la Administracion,2013
abrilalcalapadilla,escolaridad,Maestria,Asuntos Internacionales,2007
abrilalcalapadilla,escolaridad,Licenciatura,Estudios Internacionales,2004
abrilalcalapadilla,administracionpublicalocal,Secretaria Tecnica de Presidencia,Universidad de Guadalajara,2004-2005
abrilalcalapadilla,administracionpublicalocal,Jefe de la Unidad de Investigacion y Politica Educativa,"Centro de Estudios Estrategicos para el Desarrollo, Jalisco",2011-2015
abrilalcalapadilla,administracionpublicalocal,Asesora,Secretaria de Educacion del Gobierno de Ciudad de Mexico,2014
abrilalcalapadilla,administracionpublicalocal,Vicepresidente Ejecutivo,Fundacion Universidad de Guadalajara-USA,2016-2018
carmenjuliaprudenciogonzalez,escolaridad,Licenciatura,Trabajo Social,1997-2001
carmenjuliaprudenciogonzalez,escolaridad,Licenciatura,Derecho,2003 - 2007
carmenjuliaprudenciogonzalez,escolaridad,Diplomado,Apoyo a victimas y delitos sexuales,2001
carmenjuliaprudenciogonzalez,escolaridad,Diplomado,Derecho Administrativo y Municipal,2007-2008
carmenjuliaprudenciogonzalez,escolaridad,Diplomado,Formacion de Competencias,2011-2012
carmenjuliaprudenciogonzalez,escolaridad,Diplomado,Politicas Publicas,2016-2017
carmenjuliaprudenciogonzalez,escolaridad,Curso,Formacion Inicial para Policias,2017
carmenjuliaprudenciogonzalez,actividadesdocentes,Docente,Seminario: Profundizacion en prevencion,2010
geraldinaisabelherreravega,escolaridad,Maestria,Master Branding Moda y Diseno,2012
geraldinaisabelherreravega,escolaridad,Posgrado,Psicoterapia Gestalt y Musicoterapia Instituto Nacional de Musicoterapia Humanista,1998-2003
geraldinaisabelherreravega,escolaridad,Posgrado,Epecialidad Derecho Tributario,1999
geraldinaisabelherreravega,escolaridad,Licenciatura,Contador Publico,1981-1986
geraldinaisabelherreravega,escolaridad,Diplomado,Desarrollo Humano,1996-1998
kehilaabigailkuescalante,escolaridad,Maestria,Maestria Interinstitucional en Politicas Publicas,2012-2014
kehilaabigailkuescalante,escolaridad,Licenciatura,Ciencias de la Comunicacion,2004-2008
kehilaabigailkuescalante,escolaridad,Diplomado,Politicas Publicas,2016-2017
kehilaabigailkuescalante,experiencialegislativa,"Diputada(o) Local Propietario, Movimiento Ciudadano",LXI Legislatura,2015
kehilaabigailkuescalante,administracionpublicalocal,Asesora Regidor,"Ayuntamiento Guadalajara, Jalisco",2012-2015
kehilaabigailkuescalante,asociacionesalasquepertenece,Asociada,"Nueva Politica, Agrupacion Politica Estatal",2011 a la fecha
kehilaabigailkuescalante,asociacionesalasquepertenece,Integrante,"Asociacion de Profesionistas y Empresarios de Mexico, A.C.",2014 a la fecha
adrianagabrielamedinaortiz,escolaridad,Licenciatura,Abogado,1998/2003
adrianagabrielamedinaortiz,trayectoriapolitica,Delegada Estatal de Mujeres en Movimiento,MC,2016 - A la fecha
adrianagabrielamedinaortiz,experiencialegislativa,"Diputada(o) Local Propietario, MC",LXI Legislatura,2015-2018
adrianagabrielamedinaortiz,administracionpublicalocal,Directora del Registro Civil,Gobierno de Tlajomulco,2010-2013
adrianagabrielamedinaortiz,administracionpublicalocal,Directora del Registro Civil,Gobierno de Tlajomulco,2013-2015
adrianagabrielamedinaortiz,actividadesdocentes,Docente,Asignatura: Historico Social,2005 - Licencia
adrianagabrielamedinaortiz,cargosenlegislaturaslocalesofederales,"Auxiliar Administrativo, Congreso Local",LVIII Legislatura,
lourdesceleniacontrerasgonzalez,escolaridad,Licenciatura,Administracion de Empresas,
lourdesceleniacontrerasgonzalez,escolaridad,Diplomado,Actualizacion en Procesos Administrativos,2006
lourdesceleniacontrerasgonzalez,escolaridad,Diplomado,Liderazgo Politico,2017
lourdesceleniacontrerasgonzalez,trayectoriapolitica,Delegada de Mujeres en Movimiento,Movimiento Ciudadano,2015-actualidad
lourdesceleniacontrerasgonzalez,cargosdeeleccionpopular,"Regidor(a), Jalisco - Tlaquepaque",Movimiento Ciudadano,2015-2018
lourdesceleniacontrerasgonzalez,mud-makeupdesignery,Gerente Comercial,Comercializadora,2009-2015
juanfranciscoramirezsalcido,escolaridad,Licenciatura,Administracion de Empresas,1986-1989
juanfranciscoramirezsalcido,escolaridad,Diplomado,Habilidades Directivas para la Gestion Publica,2010
absalongarciaochoa,escolaridad,Licenciatura,Derecho,1994-1998
absalongarciaochoa,trayectoriapolitica,"Presidente del Comite Directivo Municipal de Ocotlan, Jalisco",PAN,2001-2003
absalongarciaochoa,trayectoriapolitica,Consejero estatal del estado de Jalisco,PAN,2005-2019
absalongarciaochoa,trayectoriapolitica,Secretario del Comite Directivo estatal del estado de Jalisco,PAN,2010-2012
absalongarciaochoa,trayectoriapolitica,Secretario del Comite Directivo estatal del estado de Jalisco,PAN,2016-2018
absalongarciaochoa,trayectoriapolitica,Miembro de la Comision Permanente del estado de Jalisco,PAN,2017-2019
absalongarciaochoa,cargosdeeleccionpopular,"Presidente Municipal, Jalisco - Ocotlan",PAN,2007-2009
absalongarciaochoa,cargosdeeleccionpopular,"Regidor(a), Jalisco - Ocotlan",PAN,2012-2015
absalongarciaochoa,administracionpublicafederal,Abogado,"Servicio de Administracion Tributaria, Guadalajara Sur",1999-2002
absalongarciaochoa,administracionpublicalocal,Director General,"Secretaria del Trabajo y Prevision Social, Jalisco",2003-2004
absalongarciaochoa,administracionpublicalocal,Subsecretario de Gobierno,Gobierno del estado de Jalisco,2004-2006
absalongarciaochoa,asociacionesalasquepertenece,Miembro,Sistema Nacional Producto Maiz,2015-2012
absalongarciaochoa,asociacionesalasquepertenece,Presidente,Union de Productores de Granos Basicos,2016-2019
lauraimeldaperezsegura,escolaridad,Licenciatura,Psicologia,1999-2004
lauraimeldaperezsegura,trayectoriapolitica,Consejera Nacional,Morena,2013-2015
lauraimeldaperezsegura,trayectoriapolitica,Secretaria de Formacion y Capacitacion Politica Municipal,Morena,2013-2016
lauraimeldaperezsegura,trayectoriapolitica,Candidata a Diputada Federal distrito 16 en el estado de Jalisco,Morena,2015
lauraimeldaperezsegura,trayectoriapolitica,Enlace Distrital,Morena,2015-2018
lauraimeldaperezsegura,actividadesdocentes,Docente,Asignatura: Ciencias Sociales y Humanidades,2006-2007
lauraimeldaperezsegura,actividadesdocentes,Docente,Asignatura: Ciencias Sociales y Humanidades,2008-2018
juanmartinespinozacardenas,escolaridad,Licenciatura,Contador Publico (Cedula en tramite),1990-1994
juanmartinespinozacardenas,escolaridad,Diplomado,Politicas Publicas,2012 - 2015
juanmartinespinozacardenas,escolaridad,Diplomado,Alta Direccion,2015 - 2016
juanmartinespinozacardenas,escolaridad,Diplomado,Ciencias Politicas,2017
juanmartinespinozacardenas,trayectoriapolitica,Consejero Estatal en el estado de Jalisco,PRD,2007-2009
juanmartinespinozacardenas,trayectoriapolitica,Secretario Estatal,MC,2015-2018
juanmartinespinozacardenas,cargosdeeleccionpopular,"Regidor(a), Jalisco - La Manzanilla de la Paz",PRI,1992-1995
juanmartinespinozacardenas,cargosdeeleccionpopular,"Presidente Municipal, Jalisco - La Manzanilla de la Paz",PRD,2001-2003
juanmartinespinozacardenas,cargosdeeleccionpopular,"Presidente Municipal, Jalisco - La Manzanilla de la Paz",PRD-PT,2006-2009
juanmartinespinozacardenas,administracionpublicafederal,Supervisor Regional,INEGI,1990
juanmartinespinozacardenas,administracionpublicalocal,Promotor y Asesor,DIF Jalisco,1993 - 2010
juanmartinespinozacardenas,iniciativaprivada,"Cajero de ventanilla ""AAA""",Banca Serfin,1990 - 1993
monicaalmeidalopez,escolaridad,Doctorado,"Analisis, Ordenacion y Representacion del Territorio, con Orientacion en Cooperacion y Bienestar Social",2008-2014
monicaalmeidalopez,escolaridad,Maestria,Tecnologias para el Aprendizaje,2005-2007
monicaalmeidalopez,escolaridad,Licenciatura,Psicologia,1988-1993
monicaalmeidalopez,experiencialegislativa,"Diputada(o) Federal Suplente, Independiente",LVI Legislatura,1994-1997
monicaalmeidalopez,experiencialegislativa,"Diputada(o) Local Propietario, PRD",LXI Legislatura,2015-2018
monicaalmeidalopez,administracionpublicalocal,Rectora,Centro Universitario de los Valles de la UDG,2010-2013
monicaalmeidalopez,administracionpublicalocal,Coordinadora General Academica,Universidad de Guadalajara,2013-2014
monicaalmeidalopez,administracionpublicalocal,Coordinadora de las Relaciones Institucionales de la Rectoria General,Universidad de Guadalajara,2014-2015
monicaalmeidalopez,actividadesdocentes,Docente,Asignatura: Educacion,2006 a la fecha
albertoesquergutierrez,escolaridad,Maestria,Centro Europeo de Formacion y Desarrollo Humano,2003
albertoesquergutierrez,escolaridad,Maestria,Derecho Constitucional y Amparo,
albertoesquergutierrez,escolaridad,Licenciatura,Abogado,2001
anapriscilagonzalezgarcia,escolaridad,Licenciatura,Ciencias de la Comunicacion,2001-2005
anapriscilagonzalezgarcia,escolaridad,Licenciatura,Derecho,2012-2015
anapriscilagonzalezgarcia,escolaridad,Diplomado,Alta Direccion,2016
anapriscilagonzalezgarcia,trayectoriapolitica,Delegada Municipal Mujeres en Movimiento,MC,2015-2019
ricardoaguilarcastillo,escolaridad,Licenciatura,Derecho,
dioniciavazquezgarcia,escolaridad,Secundaria,,2001
dioniciavazquezgarcia,cargosdeeleccionpopular,"Presidente Municipal, Mexico - Tultepec",PRD,1997 - 2000
mariateresamarumejia,escolaridad,Pasante,Contaduria Publica,1976-1982
mariateresamarumejia,escolaridad,Seminario,"Formacion de Instructores, habilidades docentes a desarrollar en el aula",
mariateresamarumejia,escolaridad,Conferencia,Conferencista Internacional,No proporcionoo
mariateresamarumejia,escolaridad,Conferencia,Agente Capacitador Externo,No proporciono
nellyminervacarrascogodinez,escolaridad,Licenciatura,Informatica Administrativa,1999 - 20004
nellyminervacarrascogodinez,trayectoriapolitica,Consejera Distrital,MORENA,2012 - 2015
nellyminervacarrascogodinez,trayectoriapolitica,Enlace Administrativo,MORENA,2012 a la feca
nellyminervacarrascogodinez,trayectoriapolitica,Enlace Distrital,MORENA,2016 a la fecha
nellyminervacarrascogodinez,trayectoriapolitica,Coordinadora de campana,MORENA,2017
nellyminervacarrascogodinez,administracionpublicalocal,Conciliador bancario,Luz y Fuerza del Centro,2006 - 2009
nellyminervacarrascogodinez,iniciativaprivada,Administrativo,Ford Zapata,2003 - 2005
nellyminervacarrascogodinez,iniciativaprivada,Administrativo,MEDIWAVE Diseno,2010 - 2012
nellyminervacarrascogodinez,asociacionesalasquepertenece,Agremiada,Sindicato Mexicano de Electricistas,2006 a la fecha
franciscofavelapenunuri,escolaridad,Licenciatura,Medico Cirujano,1977 - 1982
franciscofavelapenunuri,trayectoriapolitica,Presidente del Comite Municipal,PRI,1987 - 1990
franciscofavelapenunuri,cargosdeeleccionpopular,"Sindico(a) Procurador(a), Mexico - Teotihuacan",PRI,1991 - 1993
franciscofavelapenunuri,administracionpublicalocal,Medico General,Instituto de Salud del estado de Mexico,1986 - a la fecha
franciscofavelapenunuri,administracionpublicalocal,Medico Responsable de la UMF Teotihuacan,"ISSSTE, Delegacion estado de Mexico",Febrero 2007 - a la fecha
carolinagarciaaguilar,trayectoriapolitica,Delegada Nacional,PES,2014-actualmente
carolinagarciaaguilar,trayectoriapolitica,Presidenta del Comite Ejecutivo estatal,PES,2015-2016
carolinagarciaaguilar,administracionpublicalocal,Regidora Suplente,H. Ayuntamiento de Coacalco,2018
xochitlnashiellyzagalramirez,escolaridad,Pasante,Diseno y Comunicacion Visual,2008 - 2014
xochitlnashiellyzagalramirez,escolaridad,Tecnica,"Tenico auxiliar. Fotografo, laboratorista y prensa",2006 - 2008
xochitlnashiellyzagalramirez,escolaridad,Seminario,Seminario de migracion y salud,2011
xochitlnashiellyzagalramirez,escolaridad,Diplomado,Comunicacion Politica y Campanas Electorales,2017
xochitlnashiellyzagalramirez,escolaridad,Taller,Certificacion de lectura rapida,2004
xochitlnashiellyzagalramirez,trayectoriapolitica,"Secretaria de Comunicacion, difusion y propaganda, Estatal del estado de Mexico",MORENA,2012 - 2015
xochitlnashiellyzagalramirez,trayectoriapolitica,Representante del Partido en la Comision de Acceso a medios IEEM,MORENA,2014-2015
xochitlnashiellyzagalramirez,trayectoriapolitica,Consejera Nacional,MORENA,2015 a la fecha
xochitlnashiellyzagalramirez,trayectoriapolitica,Coordinadora de Organizacion Territorial,MORENA,2016 - 2017
xochitlnashiellyzagalramirez,cargosenlegislaturaslocalesofederales,"Secretaria Tecnica, Camara de Diputados",LXIII Legislatura,
gustavocontrerasmontes,escolaridad,Pasante,Contador Publico,2002 - 2004
gustavocontrerasmontes,trayectoriapolitica,Militante activo,PRD,1999 - 2014
gustavocontrerasmontes,trayectoriapolitica,Coordinador Territorial y militante activo,MORENA,2016 a la fecha
gustavocontrerasmontes,trayectoriapolitica,Consejero Estatal,PRD,No Proporciono
eduardozarzosasanchez,escolaridad,Maestria,Administracion Publica,2015-2017
eduardozarzosasanchez,escolaridad,Maestria,Derecho Parlamentario,2016-2018
eduardozarzosasanchez,escolaridad,Licenciatura,Derecho,1992-1997
eduardozarzosasanchez,trayectoriapolitica,Secretario de Accion Indigena,PRI,2001-2003
eduardozarzosasanchez,trayectoriapolitica,Consejero Politico Municipal,PRI,2001-2018
eduardozarzosasanchez,trayectoriapolitica,Consejero Politico Estatal,PRI,2002 a la fecha
eduardozarzosasanchez,trayectoriapolitica,Consejero Politico Nacional,PRI,"2002-2005, 2010-2011"
eduardozarzosasanchez,trayectoriapolitica,Secretario General del Movimiento Territorial,PRI,2012-2015
eduardozarzosasanchez,cargosdeeleccionpopular,"Presidente Municipal, Mexico - San Felipe del Progreso",PRI,2006-2009
eduardozarzosasanchez,experiencialegislativa,"Diputada(o) Federal , PRI",LXI Legislatura,2009-2012
eduardozarzosasanchez,experiencialegislativa,"Diputada(o) Local Propietario, PRI",LIX Legislatura,2015-2018
eduardozarzosasanchez,administracionpublicalocal,Subdirector,Subdireccion Operativa del Consejo Estatal para el Desarrollo Integral de los Pueblos Indigenas,1999-2000
eduardozarzosasanchez,administracionpublicalocal,Director de Predial y Catastro,H. Ayuntamiento de San Felpie del Progreso,2000-2001
eduardozarzosasanchez,administracionpublicalocal,Vocal Ejecutivo,Consejo Estatal para el Desarrollo Integral de los Pueblos Indigenas,2003-2005
eduardozarzosasanchez,cargosenlegislaturaslocalesofederales,"Secretario Particular, Camara de Diputados",LVI Legislatura,
almadelianavarreterivera,escolaridad,Carrera Trunca,Ciencia Politica,1990-1995
almadelianavarreterivera,trayectoriapolitica,Consejero Estatal,MORENA,2012-2015
mariaeugeniahernandezperez,escolaridad,Licenciatura,Estudios Latinoamericanos,1980 - 1984
mariaeugeniahernandezperez,trayectoriapolitica,integrante de 1er.comite Municipal de Morena,Morena,2011
mariaeugeniahernandezperez,trayectoriapolitica,Coordinadora,Morena,2011 -
mariaeugeniahernandezperez,trayectoriapolitica,Coordinadora y Delegada estatal,Morena,2012
mariaeugeniahernandezperez,trayectoriapolitica,Secretaria de la Mesa Directiva del estado de Mexico,Morena,2013
mariaeugeniahernandezperez,trayectoriapolitica,Promotora de la Soberania Nacional,Morena,2014
mariaeugeniahernandezperez,trayectoriapolitica,Candidata a Diputada Federal,Morena,2015
mariaeugeniahernandezperez,trayectoriapolitica,Secretaria de la Comision de Etica del Estado de Mexico,Morena,2016
feliperafaelarvizudelaluz,escolaridad,Licenciatura,Administracion de Empresas,
claudiaangelicadominguezvazquez,escolaridad,Licenciatura,Derecho,2013 - 2016
claudiaangelicadominguezvazquez,escolaridad,Seminario,Cibercultura y Medios Electronicos,2001
claudiaangelicadominguezvazquez,escolaridad,Seminario,Congreso Educacion Temprana,2017
claudiaangelicadominguezvazquez,escolaridad,Seminario,Administracion Publica Municipal,2018
claudiaangelicadominguezvazquez,escolaridad,Diplomado,Diseno,2013
raulernestosanchezbarraleszavalza,escolaridad,Posgrado,Derecho Internacional,1991-1993
raulernestosanchezbarraleszavalza,escolaridad,Licenciatura,Derecho,No proporciono
raulernestosanchezbarraleszavalza,trayectoriapolitica,Representante del PRD ante el Consejo estatal electoral XVI,PRD,1999
raulernestosanchezbarraleszavalza,trayectoriapolitica,Representante electoral del PRD ante el Consejo Municipal electoral de Atizapan de Zaragoza,PRD,2000
raulernestosanchezbarraleszavalza,administracionpublicafederal,Secretario Tecnico de la Comision de Cultura,Camara de Diputados,2006-2009
raulernestosanchezbarraleszavalza,administracionpublicafederal,Asesor Parlamentario,Camara de Diputados,2009-2012
raulernestosanchezbarraleszavalza,administracionpublicafederal,Enlace con la Camara de Diputados,CONADE,2013-2014
