inic_edo,nom_edo,nombre,tipo_elec,onomastico,suplente,edo,ent,ent_2,correo,ext
aap_jalisco,abrilalcalapadilla_jalisco,Dip. Abril Alcala Padilla (LICENCIA),Mayoria Relativa,28-abr-79,Susana Priscila Alvarez Hernandez(en funciones),Jalisco,Distrito:8,L-421,abril.alcala@diputados.gob.mx,55123
cjpg_jalisco,carmenjuliaprudenciogonzalez_jalisco,Dip. Carmen Julia Prudencio Gonzalez,Mayoria Relativa,30-jun-77,Irene Garcia Martinez,Jalisco,Distrito:9,F-170,carmen.prudencio@diputados.gob.mx,62636
gihv_jalisco,geraldinaisabelherreravega_jalisco,Dip. Geraldina Isabel Herrera Vega,Mayoria Relativa,24-abr-63,Paz Rebeca Padilla Jimenez,Jalisco,Distrito:10,A-007,geraldina.herrera@diputados.gob.mx,62628
kake_jalisco,kehilaabigailkuescalante_jalisco,Dip. Kehila Abigail Ku Escalante (LICENCIA),Mayoria Relativa,02-sep-85,Irma Sanchez Manzo(en funciones),Jalisco,Distrito:11,B-033,kehila.ku@diputados.gob.mx,62630
agmo_jalisco,adrianagabrielamedinaortiz_jalisco,Dip. Adriana Gabriela Medina Ortiz,Mayoria Relativa,25-jun-79,Maria Asencion Alvarez Solis,Jalisco,Distrito:12,F-171,gabriela.medina@diputados.gob.mx,62632
lccg_jalisco,lourdesceleniacontrerasgonzalez_jalisco,Dip. Lourdes Celenia Contreras Gonzalez (LICENCIA),Mayoria Relativa,29-dic-84,Violeta Mariana Parra Garcia(en funciones),Jalisco,Distrito:13,E-130,lourdes.contreras@diputados.gob.mx,62612
jfrs_jalisco,juanfranciscoramirezsalcido_jalisco,Dip. Juan Francisco Ramirez Salcido (LICENCIA),Mayoria Relativa,25-mar-69,Humberto Ramon Jarero Cornejo(en funciones),Jalisco,Distrito:14,E-132,jfrancisco.ramirez@diputados.gob.mx,62646
ago_jalisco,absalongarciaochoa_jalisco,Dip. Absalon Garcia Ochoa,Mayoria Relativa,23-sep-71,Francisco Perales Jacobo,Jalisco,Distrito:15,G-210,absalon.garcia@diputados.gob.mx,59889
lips_jalisco,lauraimeldaperezsegura_jalisco,Dip. Laura Imelda Perez Segura,Mayoria Relativa,30-may-80,Socorro Lopez Martinez,Jalisco,Distrito:16,L-458,imelda.perez@diputados.gob.mx,59151
jmec_jalisco,juanmartinespinozacardenas_jalisco,Dip. Juan Martin Espinoza Cardenas,Mayoria Relativa,11-jul-72,Santiago Ledezma Orozco,Jalisco,Distrito:17,G-212,juan.espinoza@diputados.gob.mx,62614
mal_jalisco,monicaalmeidalopez_jalisco,Dip. Monica Almeida Lopez (LICENCIA),Mayoria Relativa,03-abr-70,Karem Zobeida Vargas Pelayo(en funciones),Jalisco,Distrito:18,K-376,monica.almeida@diputados.gob.mx,55135
aeg_jalisco,albertoesquergutierrez_jalisco,Dip. Alberto Esquer Gutierrez (LICENCIA),Mayoria Relativa,07-nov-78,Higinio Del Toro Perez,Jalisco,Distrito:19,D-093,alberto.esquer@diputados.gob.mx,62616
apgg_jalisco,anapriscilagonzalezgarcia_jalisco,Dip. Ana Priscila Gonzalez Garcia (LICENCIA),Mayoria Relativa,13-may-84,Maria del Refugio Alvarado Romo(en funciones),Jalisco,Distrito:20,C-061,priscila.gonzalez@diputados.gob.mx,62626
rac_mexico,ricardoaguilarcastillo_mexico,Dip. Ricardo Aguilar Castillo,Mayoria Relativa,05-ago-70,Rogelio Enrique Valdez Valdez,Mexico,Distrito:1,E-138,raguilar.castillo@diputados.gob.mx,59446
dvg_mexico,dioniciavazquezgarcia_mexico,Dip. Dionicia Vazquez Garcia,Mayoria Relativa,29-mar-48,Elena Laura Flores Martinez,Mexico,Distrito:2,H-283,dionicia.vazquez@diputados.gob.mx,62058
mtmm_mexico,mariateresamarumejia_mexico,Dip. Maria Teresa Maru Mejia,Mayoria Relativa,29-oct-58,Maria de Lourdes Rios Garcia,Mexico,Distrito:3,E-158,maria.maru@diputados.gob.mx,62022
nmcg_mexico,nellyminervacarrascogodinez_mexico,Dip. Nelly Minerva Carrasco Godinez,Mayoria Relativa,16-mar-82,Rosario Cruz Salinas,Mexico,Distrito:4,E-147,nelly.carrasco@diputados.gob.mx,61478
ffp_mexico,franciscofavelapenunuri_mexico,Dip. Francisco Favela Penunuri,Mayoria Relativa,15-abr-55,Apolinar Zuniga Quijada,Mexico,Distrito:5,I-328,francisco.favela@diputados.gob.mx,62046
cga_mexico,carolinagarciaaguilar_mexico,Dip. Carolina Garcia Aguilar,Mayoria Relativa,22-sep-76,Karla Ivette Calva Aleman,Mexico,Distrito:6,C-079,cgarcia.aguilar@diputados.gob.mx,61848
xnzr_mexico,xochitlnashiellyzagalramirez_mexico,Dip. Xochitl Nashielly Zagal Ramirez (LICENCIA),Mayoria Relativa,28-may-90,Laura Monica Guerra Navarro(en funciones),Mexico,Distrito:7,F-188,xochitl.zagal@diputados.gob.mx,61462
gcm_mexico,gustavocontrerasmontes_mexico,Dip. Gustavo Contreras Montes,Mayoria Relativa,11-jun-80,Guillermo Diaz Gonzalez Flores,Mexico,Distrito:8,F-193,gustavo.contreras@diputados.gob.mx,61500
ezs_mexico,eduardozarzosasanchez_mexico,Dip. Eduardo Zarzosa Sanchez (LICENCIA),Mayoria Relativa,16-dic-73,Jesus Wenceslao Rangel de la O(en funciones),Mexico,Distrito:9,J-345,eduardo.zarzosa@diputados.gob.mx,59516
adnr_mexico,almadelianavarreterivera_mexico,Dip. Alma Delia Navarrete Rivera,Mayoria Relativa,29-jul-72,Teresa Escobar Briones,Mexico,Distrito:10,E-146,alma.navarrete@diputados.gob.mx,61504
mehp_mexico,mariaeugeniahernandezperez_mexico,Dip. Maria Eugenia Hernandez Perez,Mayoria Relativa,20-mar-61,Natalia Benitez Torres,Mexico,Distrito:11,F-187,eugenia.hernandez@diputados.gob.mx,61556
fradll_mexico,feliperafaelarvizudelaluz_mexico,Dip. Felipe Rafael Arvizu De la Luz,Mayoria Relativa,09-sep-74,Pedro Antonio Vera Flores,Mexico,Distrito:12,D-107,felipe.arvizu@diputados.gob.mx,61482
medg_mexico,mariaelizabethdiazgarcia_mexico,Dip. Maria Elizabeth Diaz Garcia,Mayoria Relativa,10-feb-71,Gabriela Hernandez Cruz,Mexico,Distrito:13,E-149,maria.diaz@diputados.gob.mx,61495
cadv_mexico,claudiaangelicadominguezvazquez_mexico,Dip. Claudia Angelica Dominguez Vazquez,Mayoria Relativa,13-sep-77,Karla Paola Peniche Rodriguez,Mexico,Distrito:14,C-082,claudia.dominguez@diputados.gob.mx,62032
resbz_mexico,raulernestosanchezbarraleszavalza_mexico,Dip. Raul Ernesto Sanchez Barrales Zavalza,Mayoria Relativa,19-dic-71,Jose Francisco Lara Hernandez,Mexico,Distrito:15,I-315,raul.sanchezbarrales@diputados.gob.mx,61502
emt_mexico,emiliomanzanillatellez_mexico,Dip. Emilio Manzanilla Tellez,Mayoria Relativa,10-abr-71,Jose Antonio Garcia Hernandez,Mexico,Distrito:16,E-159,emilio.manzanilla@diputados.gob.mx,62026
mgra_mexico,mariaguadaluperomanavila_mexico,Dip. Maria Guadalupe Roman Avila,Mayoria Relativa,24-feb-73,Katia Gonzalez Hernandez,Mexico,Distrito:17,G-230,guadalupe.roman@diputados.gob.mx,61426
crm_mexico,claudiareyesmontiel_mexico,Dip. Claudia Reyes Montiel,Mayoria Relativa,07-feb-74,Maria Gisela Alejandra Parra Flores,Mexico,Distrito:18,M-459,claudia.reyes@diputados.gob.mx,55105
ums_mexico,ulisesmurguiasoto_mexico,Dip. Ulises Murguia Soto,Mayoria Relativa,09-jul-63,Jose Daniel Alfonso Hernandez Ramirez,Mexico,Distrito:19,H-272,ulises.murguia@diputados.gob.mx,61488
jpsr_mexico,juanpablosanchezrodriguez_mexico,Dip. Juan Pablo Sanchez Rodriguez,Mayoria Relativa,29-abr-79,Luis Miguel Rodriguez Hernandez,Mexico,Distrito:20,G-234,pablo.sanchez@diputados.gob.mx,61491
gso_mexico,gracielasanchezortiz_mexico,Dip. Graciela Sanchez Ortiz,Mayoria Relativa,18-feb-59,Brenda Anahi Garcia Diaz,Mexico,Distrito:21,E-148,graciela.sanchez@diputados.gob.mx,61492
mtrrmr_mexico,mariateresarebecarosamorarios_mexico,Dip. Maria Teresa Rebeca Rosa Mora Rios,Mayoria Relativa,11-may-52,Juana Berenice Montoya Marquez,Mexico,Distrito:22,F-191,teresa.mora@diputados.gob.mx,61474
don_mexico,davidorihuelanava_mexico,Dip. David Orihuela Nava,Mayoria Relativa,31-ene-85,Nivardo Torres Siles,Mexico,Distrito:23,H-270,david.orihuela@diputados.gob.mx,61466
mdlahdr_mexico,mariadelosangeleshuertadelrio_mexico,Dip. Maria de los Angeles Huerta del Rio,Mayoria Relativa,10-ago-62,Korina Angelica Esquinca Gonzalez,Mexico,Distrito:24,G-227,angeles.huerta@diputados.gob.mx,61430
d_mexico,delfino(deceso)lopezaparicio_mexico,Dip. Delfino (DECESO) Lopez Aparicio (LICENCIA),Mayoria Relativa,09-feb-60,Silvestre Lopez Cornejo(en funciones),Mexico,Distrito:25,G-233,delfino.lopez@diputados.gob.mx,61468
edlamm_mexico,esmeraldadelosangelesmorenomedina_mexico,Dip. Esmeralda de los Angeles Moreno Medina,Mayoria Relativa,19-dic-86,Maria del Pilar Terron Ramirez,Mexico,Distrito:26,B-046,esmeralda.moreno@diputados.gob.mx,61814
ogy_mexico,oscargonzalezyanez_mexico,Dip. Oscar Gonzalez Yanez,Mayoria Relativa,06-oct-64,Luis Osvaldo Lopez Dotor,Mexico,Distrito:27,F-202,oscar.gonzalez@diputados.gob.mx,62064
radr_mexico,robertoangeldominguezrodriguez_mexico,Dip. Roberto Angel Dominguez Rodriguez,Mayoria Relativa,27-ene-80,Pedro Eduardo Pineda Delgado,Mexico,Distrito:28,H-269,roberto.dominguez@diputados.gob.mx,61460
mro_mexico,martharoblesortiz_mexico,Dip. Martha Robles Ortiz,Mayoria Relativa,25-abr-62,Gabriela Guadalupe Martinez Maldonado,Mexico,Distrito:29,F-189,martha.robles@diputados.gob.mx,61422
cahp_mexico,cesaragustinhernandezperez_mexico,Dip. Cesar Agustin Hernandez Perez,Mayoria Relativa,01-mar-80,Juan Gabriel Mendez Gonzalez,Mexico,Distrito:30,I-314,cesar.hernandez@diputados.gob.mx,61438
jabb_mexico,juanangelbautistabravo_mexico,Dip. Juan Angel Bautista Bravo,Mayoria Relativa,25-jul-81,Jose Guadalupe Gonzalez Vargas,Mexico,Distrito:31,D-106,juan.bautista@diputados.gob.mx,66376
lemv_mexico,luisenriquemartinezventura_mexico,Dip. Luis Enrique Martinez Ventura,Mayoria Relativa,19-ago-63,Jaime Gonzalo Vargas Alvarez,Mexico,Distrito:32,H-285,luisenrique.martinez@diputados.gob.mx,62020
vaov_mexico,vicentealbertoonofrevazquez_mexico,Dip. Vicente Alberto Onofre Vazquez,Mayoria Relativa,06-abr-69,Gabriel Torres Duenas,Mexico,Distrito:33,I-322,vicente.onofre@diputados.gob.mx,54244
mcm_mexico,miroslavacarrillomartinez_mexico,Dip. Miroslava Carrillo Martinez (LICENCIA),Mayoria Relativa,05-may-73,Maria Guadalupe Diaz Avilez(en funciones),Mexico,Distrito:34,I-313,miroslava.carrillo@diputados.gob.mx,61484
arht_mexico,arturorobertohernandeztapia_mexico,Dip. Arturo Roberto Hernandez Tapia,Mayoria Relativa,05-may-61,Felipe Vidal Gomez,Mexico,Distrito:35,G-231,arturo.hernandez@diputados.gob.mx,61486
cjrs_mexico,cruzjuvenalroasanchez_mexico,Dip. Cruz Juvenal Roa Sanchez,Mayoria Relativa,10-may-68,Rigoberto Lopez Rivera,Mexico,Distrito:36,I-302,cruz.roa@diputados.gob.mx,59442
pmzs_mexico,pedromariozentenosantaella_mexico,Dip. Pedro Mario Zenteno Santaella (LICENCIA),Mayoria Relativa,13-sep-60,Edgar Eduardo Arenas Madrigal(en funciones),Mexico,Distrito:37,E-150,pedro.zenteno@diputados.gob.mx,61428
kyab_mexico,karlayuritzialmazanburgos_mexico,Dip. Karla Yuritzi Almazan Burgos,Mayoria Relativa,27-ago-74,Maria Imelda Agustina Yescas Ruiz,Mexico,Distrito:38,I-313,karla.almazan@diputados.gob.mx,53109
jlml_mexico,joseluismontalvoluna_mexico,Dip. Jose Luis Montalvo Luna,Mayoria Relativa,29-abr-60,Ivan Morales Velasco,Mexico,Distrito:39,E-160,jose.montalvo@diputados.gob.mx,62007
marc_mexico,marcoantonioreyescolin_mexico,Dip. Marco Antonio Reyes Colin,Mayoria Relativa,18-may-81,Adrian Estrada Arriaga,Mexico,Distrito:40,F-186,marco.reyes@diputados.gob.mx,61480
ncrh_mexico,nancyclaudiaresendizhernandez_mexico,Dip. Nancy Claudia Resendiz Hernandez,Mayoria Relativa,19-dic-77,Diana Laura Zamora Orihuela,Mexico,Distrito:41,H-277,nancy.resendiz@diputados.gob.mx,61841
ffa_michoacan,felicianofloresanguiano_michoacan,Dip. Feliciano Flores Anguiano,Mayoria Relativa,28-may-71,Humberto Soberano Ramirez,Michoacan,Distrito:1,I-318,feliciano.flores@diputados.gob.mx,61132
ebb_michoacan,estebanbarajasbarajas_michoacan,Dip. Esteban Barajas Barajas,Mayoria Relativa,20-ene-59,Indalecio Cortes Gamez,Michoacan,Distrito:2,I-319,esteban.barajas@diputados.gob.mx,61120
mcbm_michoacan,marycarmenbernalmartinez_michoacan,Dip. Mary Carmen Bernal Martinez,Mayoria Relativa,24-ago-84,Rosa Mayra Garcia Arellano,Michoacan,Distrito:3,E-156,mary.bernal@diputados.gob.mx,62056
atc_michoacan,armandotejedacid_michoacan,Dip. Armando Tejeda Cid,Mayoria Relativa,21-sep-84,J. Jesus Mendoza Torres,Michoacan,Distrito:4,D-083,armando.tejeda@diputados.gob.mx,59965
ygb_michoacan,yolandaguerrerobarrera_michoacan,Dip. Yolanda Guerrero Barrera,Mayoria Relativa,21-feb-64,Giselle Garcia Ibarra,Michoacan,Distrito:5,J-356,yolanda.guerrero@diputados.gob.mx,61118
asc_michoacan,anitasanchezcastro_michoacan,Dip. Anita Sanchez Castro,Mayoria Relativa,07-ene-68,Maria de Jesus Juarez Garcia,Michoacan,Distrito:6,J-358,anita.sanchez@diputados.gob.mx,61124
ghp_michoacan,gonzaloherreraperez_michoacan,Dip. Gonzalo Herrera Perez,Mayoria Relativa,07-jul-55,Miguel Angel Cuin Simon,Michoacan,Distrito:7,I-321,gonzalo.herrera@diputados.gob.mx,61112
algq_michoacan,analiliaguillenquiroz_michoacan,Dip. Ana Lilia Guillen Quiroz,Mayoria Relativa,05-feb-55,Ruth Yolotli Manriquez Lopez,Michoacan,Distrito:8,J-355,ana.guillen@diputados.gob.mx,61122
ibce_michoacan,ignaciobenjamincamposequihua_michoacan,Dip. Ignacio Benjamin Campos Equihua (LICENCIA),Mayoria Relativa,12-may-73,Jorge Alberto Mendoza Reyes(en funciones),Michoacan,Distrito:9,I-317,ignacio.campos@diputados.gob.mx,61134
iapnr_michoacan,ivanarturopereznegronruiz_michoacan,Dip. Ivan Arturo Perez Negron Ruiz (LICENCIA),Mayoria Relativa,20-jul-74,Jose Misael Lopez Diaz(en funciones),Michoacan,Distrito:10,A-019,ivan.pereznegron@diputados.gob.mx,61879
jgar_michoacan,joseguadalupeaguilerarojas_michoacan,Dip. Jose Guadalupe Aguilera Rojas,Mayoria Relativa,12-dic-71,Marco Antonio Bastida Bastida,Michoacan,Distrito:11,L-420,josegpe.aguilera@diputados.gob.mx,62404
fjhe_michoacan,franciscojavierhuacusesquivel_michoacan,Dip. Francisco Javier Huacus Esquivel,Mayoria Relativa,26-ago-86,Genaro Maya Talavera,Michoacan,Distrito:12,C-081,francisco.huacus@diputados.gob.mx,62018
amt_morelos,alejandromojicatoledo_morelos,Dip. Alejandro Mojica Toledo,Mayoria Relativa,12-ene-55,Omar Alfonso Barrera Hernandez,Morelos,Distrito:1,G-221,alejandro.mojica@diputados.gob.mx,61354
apb_morelos,alejandrapanibarragan_morelos,Dip. Alejandra Pani Barragan,Mayoria Relativa,17-jul-64,Esmeralda Flores Carranza,Morelos,Distrito:2,G-222,alejandra.pani@diputados.gob.mx,61362
jgm_morelos,juanitaguerramena_morelos,Dip. Juanita Guerra Mena,Mayoria Relativa,19-mar-83,Erika Hernandez Gordillo,Morelos,Distrito:3,F-181,juanita.guerra@diputados.gob.mx,61360
jaav_morelos,jorgearturoarguellesvictorero_morelos,Dip. Jorge Arturo Arguelles Victorero,Mayoria Relativa,13-may-81,Alejandro Rondin Cruz,Morelos,Distrito:4,F-194,jorge.arguelles@diputados.gob.mx,61804
jgag_morelos,joseguadalupeambrociogachuz_morelos,Dip. Jose Guadalupe Ambrocio Gachuz,Mayoria Relativa,12-dic-60,Oscar Mejia Garcia,Morelos,Distrito:5,F-179,jose.ambrocio@diputados.gob.mx,61358
mpjv_nayarit,miguelpaveljarerovelazquez_nayarit,Dip. Miguel Pavel Jarero Velazquez,Mayoria Relativa,19-oct-77,Francisco Jimenez Lopez,Nayarit,Distrito:1,G-238,miguel.jarero@diputados.gob.mx,61628
mgpm_nayarit,mariageraldineponcemendez_nayarit,Dip. Maria Geraldine Ponce Mendez (LICENCIA),Mayoria Relativa,04-abr-94,Africa Azucena Sanchez Hernandez,Nayarit,Distrito:2,H-280,maria.ponce@diputados.gob.mx,61619
miva_nayarit,mirthailianavillalvazoamaya_nayarit,Dip. Mirtha Iliana Villalvazo Amaya (LICENCIA),Mayoria Relativa,02-dic-80,Anabel Margarita Guerrero Benitez,Nayarit,Distrito:3,G-239,mirtha.villalvazo@diputados.gob.mx,61617
hsw_nuevo leon,hernansalinaswolberg_nuevo leon,Dip. Hernan Salinas Wolberg,Mayoria Relativa,01-abr-82,Jorge Alberto Arrambide Montemayor,Nuevo Leon,Distrito:1,G-205,hernan.salinas@diputados.gob.mx,59917
mgam_nuevo leon,mariaguillerminaalvaradomoreno_nuevo leon,Dip. Maria Guillermina Alvarado Moreno,Mayoria Relativa,26-dic-68,Rebeca Lidia Garcia Vallejo,Nuevo Leon,Distrito:2,L-448,maria.alvarado@diputados.gob.mx,61775
jlgd_nuevo leon,joseluisgarciaduque_nuevo leon,Dip. Jose Luis Garcia Duque,Mayoria Relativa,08-nov-67,Juan Hugo Lopez Flores,Nuevo Leon,Distrito:3,A-022,jgarcia.duque@diputados.gob.mx,67893
rfs_nuevo leon,ricardofloressuarez_nuevo leon,Dip. Ricardo Flores Suarez,Mayoria Relativa,05-ago-77,Julio Cesar Alvarado Mendoza,Nuevo Leon,Distrito:4,H-242,ricardo.flores@diputados.gob.mx,59917
sgs_nuevo leon,santiagogonzalezsoto_nuevo leon,Dip. Santiago Gonzalez Soto,Mayoria Relativa,25-jun-61,Pedro Vazquez Gonzalez,Nuevo Leon,Distrito:5,F-200,santiago.gonzalez@diputados.gob.mx,62122
asgc_nuevo leon,anniasarahigomezcardenas_nuevo leon,Dip. Annia Sarahi Gomez Cardenas,Mayoria Relativa,06-jul-83,Alejandra Soria Gutierrez,Nuevo Leon,Distrito:6,B-028,annia.gomez@diputados.gob.mx,59904
ledjgg_nuevo leon,lauraerikadejesusgarzagutierrez_nuevo leon,Dip. Laura Erika de Jesus Garza Gutierrez (LICENCIA),Mayoria Relativa,19-ago-77,Febe Priscila Benavides Lozano(en funciones),Nuevo Leon,Distrito:7,H-279,laura.garza@diputados.gob.mx,61869
evc_nuevo leon,ernestovargascontreras_nuevo leon,Dip. Ernesto Vargas Contreras (LICENCIA),Mayoria Relativa,06-mar-77,Jose Rolando Benavides Mendiola(en funciones),Nuevo Leon,Distrito:8,E-153,ernesto.vargas@diputados.gob.mx,55265
jfee_nuevo leon,juanfranciscoespinozaeguia_nuevo leon,Dip. Juan Francisco Espinoza Eguia,Mayoria Relativa,10-nov-71,Jesus Guillermo Aguilar Gonzalez,Nuevo Leon,Distrito:9,D-097,francisco.espinoza@diputados.gob.mx,59430
jmlc_nuevo leon,josemartinlopezcisneros_nuevo leon,Dip. Jose Martin Lopez Cisneros (LICENCIA),Mayoria Relativa,11-nov-72,Juan Martin Garcia Marquez(en funciones),Nuevo Leon,Distrito:10,F-168,jose.lopez@diputados.gob.mx,59900
earl_nuevo leon,ernestoalfonsorobledoleal_nuevo leon,Dip. Ernesto Alfonso Robledo Leal (LICENCIA),Mayoria Relativa,06-jun-76,Rafael Alejandro Serna Vega(en funciones),Nuevo Leon,Distrito:11,K-373,alfonso.robledo@diputados.gob.mx,59917
spgc_nuevo leon,sandrapaolagonzalezcastaneda_nuevo leon,Dip. Sandra Paola Gonzalez Castaneda,Mayoria Relativa,31-mar-79,Perla Elizabeth Carrizales Cardenas,Nuevo Leon,Distrito:12,L-450,sandra.gonzalez@diputados.gob.mx,61778
ime_oaxaca,irineomolinaespinoza_oaxaca,Dip. Irineo Molina Espinoza,Mayoria Relativa,13-jun-76,Jorge Luis Estrada Rodriguez,Oaxaca,Distrito:1,J-349,irineo.molina@diputados.gob.mx,61196
ijc_oaxaca,irmajuancarlos_oaxaca,Dip. Irma Juan Carlos,Mayoria Relativa,19-jul-77,Maria Fernanda Barbosa Sosa,Oaxaca,Distrito:2,H-260,irma.juan@diputados.gob.mx,61206
mgg_oaxaca,margaritagarciagarcia_oaxaca,Dip. Margarita Garcia Garcia,Mayoria Relativa,26-ene-66,Dalia Leticia Lopez Herrera,Oaxaca,Distrito:3,B-049,margarita.garcia@diputados.gob.mx,62038
asc_oaxaca,azaelsantiagochepi_oaxaca,Dip. Azael Santiago Chepi,Mayoria Relativa,15-dic-77,Joel Javier Nicolas,Oaxaca,Distrito:4,H-263,azael.santiago@diputados.gob.mx,61194
caa_oaxaca,carolantonioaltamirano_oaxaca,Dip. Carol Antonio Altamirano,Mayoria Relativa,13-dic-63,Rigoberto Quecha Molina,Oaxaca,Distrito:5,H-262,carol.antonio@diputados.gob.mx,61200
bdpl_oaxaca,beatrizdomingaperezlopez_oaxaca,Dip. Beatriz Dominga Perez Lopez,Mayoria Relativa,24-ago-75,Virginia Merino Garcia,Oaxaca,Distrito:6,I-307,beatriz.perez@diputados.gob.mx,61182
rdf_oaxaca,rosalindadominguezflores_oaxaca,Dip. Rosalinda Dominguez Flores,Mayoria Relativa,06-sep-70,Maria Antonia Pineda Ruiz,Oaxaca,Distrito:7,I-305,rosalinda.dominguez@diputados.gob.mx,61208
brm_oaxaca,benjaminroblesmontoya_oaxaca,Dip. Benjamin Robles Montoya,Mayoria Relativa,08-nov-59,Gonzalo Jesus Aquino Ramirez,Oaxaca,Distrito:8,D-117,benjamin.robles@diputados.gob.mx,62102
mdcbp_oaxaca,mariadelcarmenbautistapelaez_oaxaca,Dip. Maria del Carmen Bautista Pelaez,Mayoria Relativa,04-abr-91,Yesenia Rios Ruiz,Oaxaca,Distrito:9,H-261,maria.bautista@diputados.gob.mx,61184
dgg_oaxaca,danielgutierrezgutierrez_oaxaca,Dip. Daniel Gutierrez Gutierrez,Mayoria Relativa,15-feb-76,Azael Jacinto Garcia,Oaxaca,Distrito:10,J-348,daniel.gutierrez@diputados.gob.mx,61525
mag_puebla,miguelacundogonzalez_puebla,Dip. Miguel Acundo Gonzalez (LICENCIA),Mayoria Relativa,29-sep-61,Jose Francisco Esquitin Alonso(en funciones),Puebla,Distrito:1,D-113,miguel.acundo@diputados.gob.mx,61852
mmggm_puebla,maiellamarthagabrielagomezmaldonado_puebla,Dip. Maiella Martha Gabriela Gomez Maldonado,Mayoria Relativa,26-sep-74,Maricela Gonzalez Juarez,Puebla,Distrito:2,F-173,maiella.gomez@diputados.gob.mx,62622
cbr_puebla,claudiabaezruiz_puebla,Dip. Claudia Baez Ruiz,Mayoria Relativa,20-oct-72,Esther Martinez Romano,Puebla,Distrito:3,D-112,claudia.baez@diputados.gob.mx,61863
ipj_puebla,inesparrajuarez_puebla,Dip. Ines Parra Juarez,Mayoria Relativa,20-abr-78,Maria Isabel Torres Bravo,Puebla,Distrito:4,B-039,ines.parra@diputados.gob.mx,61543
lsg_puebla,lizethsanchezgarcia_puebla,Dip. Lizeth Sanchez Garcia (LICENCIA),Mayoria Relativa,03-nov-76,Martha Huerta Hernandez(en funciones),Puebla,Distrito:5,F-199,lizeth.sanchez@diputados.gob.mx,62048
ach_puebla,alejandrocarvajalhidalgo_puebla,Dip. Alejandro Carvajal Hidalgo,Mayoria Relativa,02-ago-80,Iztac Hernandez Quiterio,Puebla,Distrito:6,A-014,alejandro.carvajal@diputados.gob.mx,61553
egv_puebla,edgarguzmanvaldez_puebla,Dip. Edgar Guzman Valdez,Mayoria Relativa,19-abr-92,Eloy Acata Martinez,Puebla,Distrito:7,P-508,edgar.guzman@diputados.gob.mx,61455
jkvv_puebla,julietakristalvencesvalencia_puebla,Dip. Julieta Kristal Vences Valencia,Mayoria Relativa,24-oct-86,Marisol Prieto Avendano,Puebla,Distrito:8,A-015,julieta.vences@diputados.gob.mx,61537
jgas_puebla,joseguillermoarechigasantamaria_puebla,Dip. Jose Guillermo Arechiga Santamaria,Mayoria Relativa,02-sep-58,Alfonso Perez Arroyo,Puebla,Distrito:9,B-040,jose.arechiga@diputados.gob.mx,61539
nsb_puebla,nayelisalvatoribojalil_puebla,Dip. Nayeli Salvatori Bojalil,Mayoria Relativa,26-ago-85,Esperanza Estela Chilaca Munoz,Puebla,Distrito:10,D-111,nayeli.salvatori@diputados.gob.mx,61832
bshc_puebla,benjaminsaulhuertacorona_puebla,Dip. Benjamin Saul Huerta Corona,Mayoria Relativa,31-mar-58,Mario Enrique Aguilar Caldelas,Puebla,Distrito:11,A-013,benjamin.huerta@diputados.gob.mx,61557
flmp_puebla,fernandoluismanzanillaprieto_puebla,Dip. Fernando Luis Manzanilla Prieto,Mayoria Relativa,10-may-68,Eudoxio Morales Flores,Puebla,Distrito:12,F-195,fernando.manzanilla@diputados.gob.mx,61800
hgdjjym_puebla,hectorguillermodejesusjimenezymeneses_puebla,Dip. Hector Guillermo de Jesus Jimenez y Meneses (LICENCIA),Mayoria Relativa,24-nov-45,Julian Pena Hidalgo(en funciones),Puebla,Distrito:13,C-070,hector.jimenez@diputados.gob.mx,61547
nmc_puebla,nellymacedacarrera_puebla,Dip. Nelly Maceda Carrera,Mayoria Relativa,05-feb-79,Carolina Gaspar Ramirez,Puebla,Distrito:14,B-041,nelly.maceda@diputados.gob.mx,61559
abc_puebla,alejandrobarrosochavez_puebla,Dip. Alejandro Barroso Chavez,Mayoria Relativa,04-ene-81,Paulino Olivier Montero,Puebla,Distrito:15,B-038,alejandro.barroso@diputados.gob.mx,61541
sra_queretaro,soniarochaacosta_queretaro,Dip. Sonia Rocha Acosta,Mayoria Relativa,30-mar-78,Gricelda Otero Hernandez,Queretaro,Distrito:1,G-209,sonia.rocha@diputados.gob.mx,59892
jlmn_queretaro,jorgeluismontesnieves_queretaro,Dip. Jorge Luis Montes Nieves,Mayoria Relativa,14-ene-81,Rogelio Resendiz Acevedo,Queretaro,Distrito:2,L-446,jorge.montes@diputados.gob.mx,61609
bsrg_queretaro,beatrizsilviaroblesgutierrez_queretaro,Dip. Beatriz Silvia Robles Gutierrez,Mayoria Relativa,24-mar-65,Adelina Alcantara Plata,Queretaro,Distrito:3,L-447,beatriz.robles@diputados.gob.mx,61611
ffmo_queretaro,felipefernandomaciasolvera_queretaro,Dip. Felipe Fernando Macias Olvera,Mayoria Relativa,04-abr-86,Raul Jaime Perez,Queretaro,Distrito:4,D-085,felipe.macias@diputados.gob.mx,59887
aplb_queretaro,anapaolalopezbirlain_queretaro,Dip. Ana Paola Lopez Birlain,Mayoria Relativa,21-sep-81,Gabriela Castro Jasso,Queretaro,Distrito:5,B-026,ana.lopez@diputados.gob.mx,59980
