CURP,Nombre,TipoLegislacion,Partido_x,FechaNacimiento_x,LugarNacimiento,PrincipioEleccion,Zona,UltimoGradoEstudios,PreparacionAcademica,Legislatura,InicioLegislatura,FinLegislatura,inic_edo,nom_edo,tipo_elec,FechaNacimiento_y,edo,ent,Partido_y,N°,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
HAAL,Ana Lilia Herrera Anzaldo,Senadora Propietario,PRI,29/08/1971, Distrito Federal ,Mayoría Relativa, México ,Maestría,Otra,LXIII,29/08/2015,31/08/2018,alha_mexico,analiliaherreraanzaldo_mexico,Representacion proporcional,29/08/1971,Mexico,Circunscripcion:5,,29,PRI,México,5ª Circunscripción,Representación proporcional,SI
HAAL,Ana Lilia Herrera Anzaldo,Diputada Propietario,PRI,29/08/1971, Distrito Federal ,Representación Proporcional, México Circunscripción: Quinta ,Maestría,Otra,LXIV,29/08/2018,31/08/2021,alha_mexico,analiliaherreraanzaldo_mexico,Representacion proporcional,29/08/1971,Mexico,Circunscripcion:5,,29,PRI,México,5ª Circunscripción,Representación proporcional,SI
CVCH,Carlos Humberto Castaños Valenzuela,Diputado Propietario,PAN,14/04/1977, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015,chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Representacion proporcional,14/04/1977,Sinaloa,Circunscripcion:1,,63,PAN,Sinaloa,1ª Circunscripción,Representación proporcional,SI
CVCH,Carlos Humberto Castaños Valenzuela,Diputado Propietario,PAN,14/04/1977, Sinaloa ,Representación Proporcional, Sinaloa Circunscripción: Primera ,Licenciatura,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Representacion proporcional,14/04/1977,Sinaloa,Circunscripcion:1,,63,PAN,Sinaloa,1ª Circunscripción,Representación proporcional,SI
AAC,Carol Antonio Altamirano,Diputado Propietario,PRD,13/12/1963, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 5 (Santo Domingo Tehuantepec) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,caa_oaxaca,carolantonioaltamirano_oaxaca,Mayoria Relativa,13/12/1963,Oaxaca,Distrito:5,,74,MORENA,Oaxaca,Distrito 5,Mayoría relativa,SI
AAC,Carol Antonio Altamirano,Diputado Propietario,Morena,13/12/1963, Oaxaca ,Mayoría Relativa, Oaxaca Distrito: 5 (Salina Cruz) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,caa_oaxaca,carolantonioaltamirano_oaxaca,Mayoria Relativa,13/12/1963,Oaxaca,Distrito:5,,74,MORENA,Oaxaca,Distrito 5,Mayoría relativa,SI
DlFHFD,Fernando Donato De las Fuentes Hernandez,Diputado Propietario,PRI,07/08/1960, Coahuila ,Mayoría Relativa, Coahuila Distrito: 4 (Saltillo) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,fddlfh_coahuila,fernandodonatodelasfuenteshernandez_coahuila,Mayoria Relativa,07/08/1960,Coahuila,Distrito:7,,133,PRI,Coahuila,7,Mayoría relativa,SI
TGF,Fernando Torres Graciano,Senador Propietario,PAN,27/08/1970, Guanajuato ,Mayoría Relativa, Guanajuato ,Maestría,Derecho,LXII,29/08/2012,31/08/2015,ftg_guanajuato,fernandotorresgraciano_guanajuato,Representacion proporcional,27/08/1970,Guanajuato,Circunscripcion:2,,136,PAN,Guanajuato,2ª Circunscripción,Representación proporcional,SI
TGF,Fernando Torres Graciano,Senador Propietario,PAN,27/08/1970, Guanajuato ,Mayoría Relativa, Guanajuato ,Maestría,Derecho,LXIII,29/08/2015,31/08/2018,ftg_guanajuato,fernandotorresgraciano_guanajuato,Representacion proporcional,27/08/1970,Guanajuato,Circunscripcion:2,,136,PAN,Guanajuato,2ª Circunscripción,Representación proporcional,SI
TGF,Fernando Torres Graciano,Diputado Propietario,PAN,27/08/1970, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021,ftg_guanajuato,fernandotorresgraciano_guanajuato,Representacion proporcional,27/08/1970,Guanajuato,Circunscripcion:2,,136,PAN,Guanajuato,2ª Circunscripción,Representación proporcional,SI
YLH,Hector Yunes Landa,Senador Propietario,PRI,27/09/1958, Veracruz ,Mayoría Relativa, Veracruz ,Maestría,Derecho,LXII,29/08/2012,31/08/2015,hyl_veracruz,hectoryuneslanda_veracruz,Representacion proporcional,27/10/1958,Veracruz,Circunscripcion:3,,162,PRI,Veracruz,3ª Circunscripción,Representación proporcional,SI
YLH,Hector Yunes Landa,Senador Propietario,PRI,27/09/1958, Veracruz ,Mayoría Relativa, Veracruz ,Maestría,Derecho,LXIII,29/08/2015,31/08/2018,hyl_veracruz,hectoryuneslanda_veracruz,Representacion proporcional,27/10/1958,Veracruz,Circunscripcion:3,,162,PRI,Veracruz,3ª Circunscripción,Representación proporcional,SI
ÁGIL,Ivonne Liliana Alvarez Garcia,Senadora Propietario,PRI,25/04/1978, Nuevo León ,Mayoría Relativa, Nuevo León ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Representacion proporcional,25/04/1978,Nuevo Leon,Circunscripcion:2,,,,,,,
ÁGIL,Ivonne Liliana Alvarez Garcia,Senadora Propietario,PRI,25/04/1978, Nuevo León ,Mayoría Relativa, Nuevo León ,Licenciatura,Derecho,LXIII,29/08/2015,31/08/2018,ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Representacion proporcional,25/04/1978,Nuevo Leon,Circunscripcion:2,,,,,,,
RHJC,Juan Carlos Romero Hicks,Senador Propietario,PAN,10/12/1955, Guanajuato ,Mayoría Relativa, Guanajuato ,Maestría,Administración y contaduría,LXII,29/08/2012,31/08/2015,jcrh_guanajuato,juancarlosromerohicks_guanajuato,Mayoria Relativa,10/12/1955,Guanajuato,Distrito:4,,220,PAN,Guanajuato,Distrito 4,Mayoría relativa,SI
RHJC,Juan Carlos Romero Hicks,Senador Propietario,PAN,10/12/1955, Guanajuato ,Mayoría Relativa, Guanajuato ,Maestría,Administración y contaduría,LXIII,29/08/2015,31/08/2018,jcrh_guanajuato,juancarlosromerohicks_guanajuato,Mayoria Relativa,10/12/1955,Guanajuato,Distrito:4,,220,PAN,Guanajuato,Distrito 4,Mayoría relativa,SI
RHJC,Juan Carlos Romero Hicks,Diputado Propietario,PAN,10/12/1955, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 4 (Guanajuato) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,jcrh_guanajuato,juancarlosromerohicks_guanajuato,Mayoria Relativa,10/12/1955,Guanajuato,Distrito:4,,220,PAN,Guanajuato,Distrito 4,Mayoría relativa,SI
BFL,Laura Barrera Fortoul,Diputada Propietario,PRI,10/05/1976, México ,Mayoría Relativa, México Distrito: 27 (Metepec) ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015,lbf_mexico,laurabarrerafortoul_mexico,Representacion proporcional,10/05/1976,Mexico,Circunscripcion:5,,242,PRI,México,5ª Circunscripción,Representación proporcional,SI
BFL,Laura Barrera Fortoul,Diputada Propietario,PRI,10/05/1976, México ,Representación Proporcional, México Circunscripción: Quinta ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,lbf_mexico,laurabarrerafortoul_mexico,Representacion proporcional,10/05/1976,Mexico,Circunscripcion:5,,242,PRI,México,5ª Circunscripción,Representación proporcional,SI
CCL,Lorena Cuellar Cisneros,Senadora Propietario,PRD,20/02/1962, Tlaxcala ,Mayoría Relativa, Tlaxcala ,Licenciatura,Ciencias de la educación,LXII,29/08/2012,31/08/2015,lcc_tlaxcala,lorenacuellarcisneros_tlaxcala,Mayoria Relativa,20/02/1962,Tlaxcala,Distrito:3,,,,,,,
CCL,Lorena Cuellar Cisneros,Senadora Propietario,PT,20/02/1962, Tlaxcala ,Mayoría Relativa, Tlaxcala ,Licenciatura,Ciencias de la educación,LXIII,29/08/2015,31/08/2018,lcc_tlaxcala,lorenacuellarcisneros_tlaxcala,Mayoria Relativa,20/02/1962,Tlaxcala,Distrito:3,,,,,,,
VSLI,Lorenia Iveth Valles Sampedro,Diputada Propietario,PRD,18/12/1976, Sonora ,Representación Proporcional, Sonora Circunscripción: Primera ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015,livs_sonora,loreniaivethvallessampedro_sonora,Mayoria Relativa,18/12/1976,Sonora,Distrito:3,,258,MORENA,Sonora,Distrito 3,Mayoría relativa,SI
VSLI,Lorenia Iveth Valles Sampedro,Diputada Propietario,Morena,18/12/1976, Sonora ,Mayoría Relativa, Sonora Distrito: 3 (Hermosillo) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,livs_sonora,loreniaivethvallessampedro_sonora,Mayoria Relativa,18/12/1976,Sonora,Distrito:3,,258,MORENA,Sonora,Distrito 3,Mayoría relativa,SI
SFLF,Luis Fernando Salazar Fernandez,Senador Propietario,PAN,18/11/1977, Coahuila ,Mayoría Relativa, Coahuila ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015,lfsf_coahuila,luisfernandosalazarfernandez_coahuila,Mayoria Relativa,18/11/1977,Coahuila,Distrito:5,,,,,,,
SFLF,Luis Fernando Salazar Fernandez,Senador Propietario,PAN,18/11/1977, Coahuila ,Mayoría Relativa, Coahuila ,Maestría,Ciencias políticas y sociales,LXIII,29/08/2015,31/08/2018,lfsf_coahuila,luisfernandosalazarfernandez_coahuila,Mayoria Relativa,18/11/1977,Coahuila,Distrito:5,,,,,,,
OMMdP,Ma. del Pilar Ortega Martinez,Senadora Suplente,PAN,29/06/1968, Guanajuato ,Representación Proporcional, N/A ,Maestría,Ciencias políticas y sociales,LXII,29/08/2012,31/08/2015,mdpom_guanajuato,ma.delpilarortegamartinez_guanajuato,Mayoria Relativa,29/06/1968,Guanajuato,Distrito:6,,,,,,,
OMMdP,Ma. del Pilar Ortega Martinez,Senadora Suplente,PAN,29/06/1968, Guanajuato ,Representación Proporcional, N/A ,Maestría,Ciencias políticas y sociales,LXIII,29/08/2015,31/08/2018,mdpom_guanajuato,ma.delpilarortegamartinez_guanajuato,Mayoria Relativa,29/06/1968,Guanajuato,Distrito:6,,,,,,,
OMMdP,Ma. del Pilar Ortega Martinez,Diputada Propietario,PAN,29/06/1968, Guanajuato ,Mayoría Relativa, Guanajuato Distrito: 6 (León) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,mdpom_guanajuato,ma.delpilarortegamartinez_guanajuato,Mayoria Relativa,29/06/1968,Guanajuato,Distrito:6,,,,,,,
AVM,Marcos Aguilar Vega,Diputado Propietario,PAN,05/07/1972, Querétaro ,Mayoría Relativa, Querétaro Distrito: 3 (Santiago de Querétaro) ,Maestría,Derecho,LXII,29/08/2012,31/08/2015,mav_queretaro,marcosaguilarvega_queretaro,Representacion proporcional,05/07/1972,Queretaro,Circunscripcion:2,,294,PAN,Querétaro,2ª Circunscripción,Representación proporcional,SI
AVM,Marcos Aguilar Vega,Diputado Propietario,PAN,05/07/1972, Querétaro ,Representación Proporcional, Querétaro Circunscripción: Segunda ,Maestría,Derecho,LXIV,29/08/2018,31/08/2021,mav_queretaro,marcosaguilarvega_queretaro,Representacion proporcional,05/07/1972,Queretaro,Circunscripcion:2,,294,PAN,Querétaro,2ª Circunscripción,Representación proporcional,SI
FSM,Margarita Flores Sanchez,Senadora Propietario,PRI,10/12/1961, Sinaloa ,Mayoría Relativa, Nayarit ,Preparatoria,,LXII,29/08/2012,31/08/2015,mfs_nayarit,margaritafloressanchez_nayarit,Representacion proporcional,10/12/1961,Nayarit,Circunscripcion:1,,295,PRI,Nayarit,1ª Circunscripción,Representación proporcional,SI
FSM,Margarita Flores Sanchez,Senadora Propietario,PRI,10/12/1961, Sinaloa ,Mayoría Relativa, Nayarit ,Preparatoria,,LXIII,29/08/2015,31/08/2018,mfs_nayarit,margaritafloressanchez_nayarit,Representacion proporcional,10/12/1961,Nayarit,Circunscripcion:1,,295,PRI,Nayarit,1ª Circunscripción,Representación proporcional,SI
GRMD,Mariana Dunyaska Garcia Rojas,Diputada Propietario,PAN,29/10/1974, Distrito Federal ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Licenciatura,Psicología,LXII,29/08/2012,31/08/2015,mdgr_veracruz,marianadunyaskagarciarojas_veracruz,Mayoria Relativa,29/10/1974,Veracruz,Distrito:12,,321,PAN,Veracruz,Distrito 12,Mayoría relativa,SI
GRMD,Mariana Dunyaska Garcia Rojas,Diputada Propietario,PAN,29/10/1974, Distrito Federal ,Mayoría Relativa, Veracruz Distrito: 12 (Veracruz) ,Maestría,Otra,LXIV,29/08/2018,31/08/2021,mdgr_veracruz,marianadunyaskagarciarojas_veracruz,Mayoria Relativa,29/10/1974,Veracruz,Distrito:12,,321,PAN,Veracruz,Distrito 12,Mayoría relativa,SI
MGMdR,Maria del Rosario Merlin Garcia,Diputada Propietario,PRD,01/11/1964, Guerrero ,Mayoría Relativa, Guerrero Distrito: 9 (Acapulco de Juárez) ,Maestría,Ciencias de la educación,LXII,29/08/2012,31/08/2015,mdrmg_guerrero,mariadelrosariomerlingarcia_guerrero,Mayoria Relativa,01/11/1964,Guerrero,Distrito:9,,306,MORENA,Guerrero,Distrito 9,Mayoría relativa,SI
CHMÁ,Miguel Angel Chico Herrera,Senador Propietario,PRI,17/03/1961, Guanajuato ,Primera Minoría, Guanajuato ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,mach_guanajuato,miguelangelchicoherrera_guanajuato,Representacion proporcional,17/03/1961,Guanajuato,Circunscripcion:2,,350,MORENA,Guanajuato,2ª Circunscripción,Representación proporcional,SI
CHMÁ,Miguel Angel Chico Herrera,Senador Propietario,PT,17/03/1961, Guanajuato ,Primera Minoría, Guanajuato ,Licenciatura,Derecho,LXIII,29/08/2015,31/08/2018,mach_guanajuato,miguelangelchicoherrera_guanajuato,Representacion proporcional,17/03/1961,Guanajuato,Circunscripcion:2,,350,MORENA,Guanajuato,2ª Circunscripción,Representación proporcional,SI
CHMÁ,Miguel Angel Chico Herrera,Diputado Propietario,Morena,17/03/1961, Guanajuato ,Representación Proporcional, Guanajuato Circunscripción: Segunda ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,mach_guanajuato,miguelangelchicoherrera_guanajuato,Representacion proporcional,17/03/1961,Guanajuato,Circunscripcion:2,,350,MORENA,Guanajuato,2ª Circunscripción,Representación proporcional,SI
BVO,Oscar Bautista Villegas,Diputado Propietario,PRI,06/02/1964, Veracruz ,Mayoría Relativa, San Luis Potosí Distrito: 3 (Río Verde) ,Maestría,Administración y contaduría,LXII,29/08/2012,31/08/2015,obv_san luis potosi,oscarbautistavillegas_san luis potosi,Mayoria Relativa,06/02/1964,San Luis Potosi,Distrito:3,,372,PRI,San Luis Potosí,Distrito 3,Mayoría relativa,SI
BVO,Oscar Bautista Villegas,Diputado Propietario,PRI,06/02/1964, Veracruz ,Mayoría Relativa, San Luis Potosí Distrito: 3 (Río Verde) ,Maestría,Administración y contaduría,LXIV,29/08/2018,31/08/2021,obv_san luis potosi,oscarbautistavillegas_san luis potosi,Mayoria Relativa,06/02/1964,San Luis Potosi,Distrito:3,,372,PRI,San Luis Potosí,Distrito 3,Mayoría relativa,SI
TVPP,Pedro Pablo Treviño Villarreal,Diputado Propietario,PRI,13/06/1972, Nuevo León ,Mayoría Relativa, Nuevo León Distrito: 12 (Cadereyta Jiménez) ,Maestría,Derecho,LXII,29/08/2012,31/08/2015,pptv_nuevo leon,pedropablotrevinovillarreal_nuevo leon,Representacion proporcional,13/06/1972,Nuevo Leon,Circunscripcion:2,,385,PRI,Nuevo León,2ª Circunscripción,Representación proporcional,SI
TVPP,Pedro Pablo Treviño Villarreal,Diputado Propietario,PRI,13/06/1972, Nuevo León ,Representación Proporcional, Nuevo León Circunscripción: Segunda ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,pptv_nuevo leon,pedropablotrevinovillarreal_nuevo leon,Representacion proporcional,13/06/1972,Nuevo Leon,Circunscripcion:2,,385,PRI,Nuevo León,2ª Circunscripción,Representación proporcional,SI
JCR,Rene Juarez Cisneros,Senador Propietario,PRI,08/06/1956, Guerrero ,Primera Minoría, Guerrero ,Licenciatura,Económico-financiera,LXII,29/08/2012,31/08/2015,rjc_guerrero,renejuarezcisneros_guerrero,Representacion proporcional,08/06/1956,Guerrero,Circunscripcion:4,,392,PRI,Guerrero,4ª Circunscripción,Representación proporcional,SI
JCR,Rene Juarez Cisneros,Diputado Propietario,PRI,08/06/1956, Guerrero ,Representación Proporcional, Guerrero Circunscripción: Cuarta ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021,rjc_guerrero,renejuarezcisneros_guerrero,Representacion proporcional,08/06/1956,Guerrero,Circunscripcion:4,,392,PRI,Guerrero,4ª Circunscripción,Representación proporcional,SI
FSR,Ricardo Flores Suarez,Diputado Suplente,PAN,01/01/1900, ,Mayoría Relativa, Nuevo León Distrito: 4 (San Nicolás de los Garza) ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,rfs_nuevo leon,ricardofloressuarez_nuevo leon,Mayoria Relativa,05/08/1977,Nuevo Leon,Distrito:4,,,,,,,
FSR,Ricardo Flores Suarez,Diputado Propietario,PAN,01/01/1900, ,Mayoría Relativa, Nuevo León Distrito: 4 (San Nicolás de los Garza) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,rfs_nuevo leon,ricardofloressuarez_nuevo leon,Mayoria Relativa,05/08/1977,Nuevo Leon,Distrito:4,,,,,,,
GGSG,Silvia Guadalupe Garza Galvan,Senadora Propietario,PAN,05/07/1962, Coahuila ,Mayoría Relativa, Coahuila ,Licenciatura,Ciencias,LXII,29/08/2012,31/08/2015,sggg_coahuila,silviaguadalupegarzagalvan_coahuila,Representacion proporcional,05/07/1962,Coahuila,Circunscripcion:2,,420,PAN,Coahuila,2a. Circunscripción,Representación proporcional,SI
GGSG,Silvia Guadalupe Garza Galvan,Senadora Propietario,PAN,05/07/1962, Coahuila ,Mayoría Relativa, Coahuila ,Licenciatura,Ciencias,LXIII,29/08/2015,31/08/2018,sggg_coahuila,silviaguadalupegarzagalvan_coahuila,Representacion proporcional,05/07/1962,Coahuila,Circunscripcion:2,,420,PAN,Coahuila,2a. Circunscripción,Representación proporcional,SI
GGSG,Silvia Guadalupe Garza Galvan,Diputada Propietario,PAN,05/07/1962, Coahuila ,Representación Proporcional, Coahuila Circunscripción: Segunda ,Licenciatura,Ciencias,LXIV,29/08/2018,31/08/2021,sggg_coahuila,silviaguadalupegarzagalvan_coahuila,Representacion proporcional,05/07/1962,Coahuila,Circunscripcion:2,,420,PAN,Coahuila,2a. Circunscripción,Representación proporcional,SI
RAS,Sonia Rocha Acosta,Senadora Suplente,PAN,30/03/1978, Querétaro ,Mayoría Relativa, Querétaro ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,sra_queretaro,soniarochaacosta_queretaro,Mayoria Relativa,30/03/1978,Queretaro,Distrito:1,,423,PAN,Querétaro,Distrito 1,Mayoría relativa,SI
RAS,Sonia Rocha Acosta,Senadora Suplente,PAN,30/03/1978, Querétaro ,Mayoría Relativa, Querétaro ,Licenciatura,Derecho,LXIII,29/08/2015,31/08/2018,sra_queretaro,soniarochaacosta_queretaro,Mayoria Relativa,30/03/1978,Queretaro,Distrito:1,,423,PAN,Querétaro,Distrito 1,Mayoría relativa,SI
RAS,Sonia Rocha Acosta,Diputada Propietario,PAN,30/03/1978, Querétaro ,Mayoría Relativa, Querétaro Distrito: 1 (Cadereyta de Montes) ,Maestría,Ciencias políticas y sociales,LXIV,29/08/2018,31/08/2021,sra_queretaro,soniarochaacosta_queretaro,Mayoria Relativa,30/03/1978,Queretaro,Distrito:1,,423,PAN,Querétaro,Distrito 1,Mayoría relativa,SI
JPVB,Veronica Beatriz Juarez Piña,Diputada Propietario,PRD,28/09/1971, Jalisco ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Derecho,LXII,29/08/2012,31/08/2015,vbjp_jalisco,veronicabeatrizjuarezpina_jalisco,Representacion proporcional,28/09/1971,Jalisco,Circunscripcion:1,,433,PRD,Jalisco,1a Crcunscricpción,Representación proporcional,SI
JPVB,Veronica Beatriz Juarez Piña,Diputada Propietario,PRD,28/09/1971, Jalisco ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,vbjp_jalisco,veronicabeatrizjuarezpina_jalisco,Representacion proporcional,28/09/1971,Jalisco,Circunscripcion:1,,433,PRD,Jalisco,1a Crcunscricpción,Representación proporcional,SI
AZX,Xavier Azuara Zuñiga,Diputado Propietario,PAN,16/09/1979, San Luis Potosí ,Mayoría Relativa, San Luis Potosí Distrito: 5 (San Luis Potosí) ,Licenciatura,Administración y contaduría,LXII,29/08/2012,31/08/2015,xaz_san luis potosi,xavierazuarazuniga_san luis potosi,Representacion proporcional,16/09/1979,San Luis Potosi,Circunscripcion:2,,443,PAN,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
AZX,Xavier Azuara Zuñiga,Diputado Propietario,PAN,16/09/1979, San Luis Potosí ,Representación Proporcional, San Luis Potosí Circunscripción: Segunda ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021,xaz_san luis potosi,xavierazuarazuniga_san luis potosi,Representacion proporcional,16/09/1979,San Luis Potosi,Circunscripcion:2,,443,PAN,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
RAZA,Zoe Alejandro Robledo Aburto,Senador Propietario,PRD,09/01/1979, Chiapas ,Primera Minoría, Chiapas ,Maestría,Derecho,LXII,29/08/2012,31/08/2015,zara_chiapas,zoealejandrorobledoaburto_chiapas,Mayoria Relativa,09/01/1979,Chiapas,Distrito:6,,,,,,,
GAMDR,Maria Del Rosario Guzman Aviles,Senadora Suplente,PAN,20/11/1963, Veracruz ,Primera Minoría, Veracruz ,Licenciatura,Ingeniería,LXIII,29/08/2015,31/08/2018,mdrga_veracruz,mariadelrosarioguzmanaviles_veracruz,Representacion proporcional,20/11/1963,Veracruz,Circunscripcion:3,,,,,,,
GAMDR,Maria Del Rosario Guzman Aviles,Diputada Propietario,PAN,20/11/1963, Veracruz ,Representación Proporcional, Veracruz Circunscripción: Tercera ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021,mdrga_veracruz,mariadelrosarioguzmanaviles_veracruz,Representacion proporcional,20/11/1963,Veracruz,Circunscripcion:3,,,,,,,
GOA,Absalon Garcia Ochoa,Diputado Propietario,PAN,01/01/1900, ,Mayoría Relativa, Jalisco Distrito: 15 (La Barca) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,ago_jalisco,absalongarciaochoa_jalisco,Mayoria Relativa,23/09/1971,Jalisco,Distrito:15,,3,PAN,Jalisco,Distrito 15,Mayoría relativa,SI
PBA,Adela Piña Bernal,Diputada Propietario,Morena,01/01/1900, ,Representación Proporcional, Ciudad de México Circunscripción: Cuarta ,Licenciatura,Ciencias de la educación,LXIV,29/08/2018,31/08/2021,apb_ciudad de mexico,adelapinabernal_ciudad de mexico,Representacion proporcional,28/12/1964,Ciudad de Mexico,Circunscripcion:4,,4,MORENA,Ciudad de México,4a Circunscripción,Representación proporcional,SI
TRA,Adolfo Torres Ramirez,Diputado Propietario,PAN,18/11/1980, Michoacán ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021,atr_michoacan,adolfotorresramirez_michoacan,Representacion proporcional,18/11/1980,Michoacan,Circunscripcion:5,,5,PAN,Michoacán,5a Circunscripción,Representación proporcional,SI
MOAG,Adriana Gabriela Medina Ortiz,Diputada Propietario,MC,25/06/1979, Jalisco ,Mayoría Relativa, Jalisco Distrito: 12 (Santa Cruz de las Flores) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,agmo_jalisco,adrianagabrielamedinaortiz_jalisco,Mayoria Relativa,25/06/1979,Jalisco,Distrito:12,,,,,,,
LRA,Adriana Lozano Rodriguez,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Tamaulipas Distrito: 4 (Matamoros) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Mayoria Relativa,26/06/1969,Tamaulipas,Distrito:4,,7,PES,Tamaulipas,Distrito 4,Mayoría relativa,SI
TZAP,Adriana Paulina Teissier Zavala,Diputada Propietario,PES,01/01/1900, ,Mayoría Relativa, Quintana Roo Distrito: 1 (Playa del Carmen) ,,,LXIV,29/08/2018,31/08/2021,aptz_quintana roo,adrianapaulinateissierzavala_quintana roo,Mayoria Relativa,20/07/1967,Quintana Roo,Distrito:1,,9,PES,Quintana Roo,Distrito 1,Mayoría relativa,SI
GRA,Agustin Garcia Rubio,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Michoacán Circunscripción: Quinta ,Licenciatura,Económico-financiera,LXIV,29/08/2018,31/08/2021,agr_michoacan,agustingarciarubio_michoacan,Representacion proporcional,05/06/1973,Michoacan,Circunscripcion:5,,,,,,,
HGAR,Agustin Reynaldo Huerta Gonzalez,Diputado Propietario,Morena,01/01/1900, ,Representación Proporcional, Puebla Circunscripción: Cuarta ,Licenciatura,Ingeniería,LXIV,29/08/2018,31/08/2021,arhg_puebla,agustinreynaldohuertagonzalez_puebla,Representacion proporcional,07/05/1962,Puebla,Circunscripcion:4,,10,MORENA,Puebla,4ª Circunscripción,Representación proporcional,SI
FSAJ,Alan Jesus Falomir Saenz,Diputado Propietario,MC,23/02/1981, Chihuahua ,Mayoría Relativa, Chihuahua Distrito: 8 (Chihuahua) ,Pasante/Licenciatura trunca,Ingeniería,LXIV,29/08/2018,31/08/2021,ajfs_chihuahua,alanjesusfalomirsaenz_chihuahua,Mayoria Relativa,23/02/1981,Chihuahua,Distrito:8,,11,MC,Chihuahua,Distrito 8,Mayoría relativa,SI
VVA,Alberto Villa Villegas,Diputado Propietario,Morena,25/10/1972, Distrito Federal ,Representación Proporcional, Jalisco Circunscripción: Primera ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021,avv_jalisco,albertovillavillegas_jalisco,Representacion proporcional,25/10/1972,Jalisco,Circunscripcion:1,,12,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
PBA,Alejandra Pani Barragan,Diputada Propietario,Morena,01/01/1900, ,Mayoría Relativa, Morelos Distrito: 2 (Jiutepec) ,Licenciatura,Administración y contaduría,LXIV,29/08/2018,31/08/2021,apb_morelos,alejandrapanibarragan_morelos,Mayoria Relativa,17/07/1964,Morelos,Distrito:2,,14,MORENA,Morelos,Distrito 2,Mayoría relativa,SI
CHA,Alejandro Carvajal Hidalgo,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Puebla Distrito: 6 (Heroica Puebla de Zaragoza) ,Licenciatura,Derecho,LXIV,29/08/2018,31/08/2021,ach_puebla,alejandrocarvajalhidalgo_puebla,Mayoria Relativa,02/08/1980,Puebla,Distrito:6,,16,MORENA,Puebla,Distrito 6,Mayoría relativa,SI
MTA,Alejandro Mojica Toledo,Diputado Propietario,Morena,01/01/1900, ,Mayoría Relativa, Morelos Distrito: 1 (Cuernavaca) ,Pasante/Licenciatura trunca,Administración y contaduría,LXIV,29/08/2018,31/08/2021,amt_morelos,alejandromojicatoledo_morelos,Mayoria Relativa,12/01/1955,Morelos,Distrito:1,,,,,,,
